Seconds,Angle,Buzzer
-1785253747.9342,90,False
-1785253747.8135,93,False
-1785253747.6931,91,False
-1785253747.5728,92,False
-1785253747.4523,91,False
-1785253747.3318,93,False
-1785253747.2113,92,False
-1785253747.0909,91,False
-1785253746.9700,93,False
-1785253746.8498,92,False
-1785253746.7294,92,False
-1785253746.6089,92,False
-1785253746.4883,92,False
-1785253746.3677,92,False
-1785253746.2472,91,False
-1785253746.1266,92,False
-1785253746.0062,93,False
-1785253745.8857,94,False
-1785253745.7643,84,False
-1785253745.6445,69,False
-1785253745.5230,60,False
-1785253745.4036,55,False
-1785253745.2829,46,False
-1785253745.1624,38,False
-1785253745.0419,37,False
-1785253744.9214,35,False
-1785253744.8009,33,False
-1785253744.6803,28,False
-1785253744.5599,19,False
-1785253744.4393,17,False
-1785253744.3187,12,False
-1785253744.1983,255,True
-1785253744.0787,9,False
-1785253743.9581,255,True
-1785253743.8377,255,True
-1785253743.7174,255,True
-1785253743.5968,255,True
-1785253743.4774,9,False
-1785253743.3569,255,True
